project,repo,defect_id,date,evidence_type,evidence_url,commit_sha,defect_class,class_confidence,discovery_venue,venue_confidence,description,evidence_quote,experiment_ruining_proposed,ruining_rationale,fix_files,fix_loc
AirStack-core,castacks/AirStack,AirStack-core-001,2026-04-29,issue,https://github.com/castacks/AirStack/issues/349,27ba8e6ab4a7cde75188adbd341712b26a058ee7,build,medium,ci_premerge,medium,[stack] ms-airsim image built on a non-desktop Ubuntu base lacked display/Vulkan runtime; AirSim crashed at launch on the headless CI GPU instance,"Try to launch AirSim on headless container, won't launch, crashes ... Just had to switch to Ubuntu-24.04-Desktop image. Fixed in 27ba8e6",no,Crash at simulator launch; caught before any test or flight ran.,.github/orchestrator/config.example.yaml,+2/-2
AirStack-core,castacks/AirStack,AirStack-core-002,2026-04-29,commit_msg,https://github.com/castacks/AirStack/commit/9804274fb386f96c2c32302c6d904e77595d0cad,9804274fb386f96c2c32302c6d904e77595d0cad,build,low,unknown,low,[stack] unpinned empy in the robot image broke ROS 2 Jazzy message generation; pinned to 3.3.4,Pin empy version to fix ROS2 jazzy version bug,no,Build-time failure.,robot/docker/Dockerfile.robot,+1/-1
AirStack-core,castacks/AirStack,AirStack-core-003,2026-04-30,ci_run,https://github.com/castacks/AirStack/actions/runs/25190894377,08ac1717180ae5776c9a62c9287b4aadb5c9d0c3,parameter,medium,ci_premerge,low,[harness] workflow granted issues:write but posting the /pytest acknowledgment on a PR needs pull-requests:write; comment step failed,"comments on PRs are gated by the pull-requests permission, not issues ... only pull-requests:write actually works for PR comments",no,Workflow permission; log expired so the failing step is inferred from the fix.,.github/workflows/system-tests.yml,+8/-7
AirStack-core,castacks/AirStack,AirStack-core-004,2026-04-30,ci_run,https://github.com/castacks/AirStack/actions/runs/25195327326,957f5089e29e9df6dc2661d81aff1a4018d882ce,build,high,ci_premerge,high,[stack] vdb_mapping_ros2 submodule pinned to an unpushed commit; CI checkout could not fetch it and the System Tests job died before pytest,"Fetched in submodule path 'robot/ros_ws/src/global/world_models/vdb_mapping_ros2', but it did not contain 68fe8ddea43365d1c720b07f1d109490e1bd960c. Direct fetching of that commit failed.",no,"Fails at clone/checkout on any fresh machine, before anything runs.",robot/ros_ws/src/global/world_models/vdb_mapping_ros2,+1/-1
AirStack-core,castacks/AirStack,AirStack-core-005,2026-04-30,ci_run,https://github.com/castacks/AirStack/actions/runs/25190586033,9fc5580ed8620e36084010c34ff380f803bba00d,build,medium,ci_premerge,low,"[harness] system-tests.yml resolved the PR head with gh/jq, which the ephemeral self-hosted runner does not have; step replaced with actions/github-script","Uses actions/github-script (Node, bundled with the runner) instead of `gh` so we don't depend on system tools — the ephemeral self-hosted runner doesn't have gh/jq installed.",no,Workflow bring-up bug; log expired so the failing step is inferred from the fix.,.github/workflows/system-tests.yml,+22/-17
AirStack-core,castacks/AirStack,AirStack-core-006,2026-04-30,commit_msg,https://github.com/castacks/AirStack/commit/e37e136de415a0dbd6aa26646f1e15ed1b6f2d7a,e37e136de415a0dbd6aa26646f1e15ed1b6f2d7a,logic,medium,unknown,low,"[harness] metrics job located result dirs with a top-level ls; artifact downloaders nest differently, so baseline/current results.xml were not found","Nesting depth differs by downloader: actions/download-artifact@v4 ... extracts straight into the path, while dawidd6/action-download-artifact@v6 ... wraps each artifact in a subdir",no,Reporting job only.,.github/workflows/system-tests.yml,+9/-5
AirStack-core,castacks/AirStack,AirStack-core-007,2026-05-04,commit_msg,https://github.com/castacks/AirStack/commit/d5702711702f7d0127adfead2618bba7cc9acf87,d5702711702f7d0127adfead2618bba7cc9acf87,remap_topic,high,unknown,low,[stack] lidar filter defaulted to sensors/lidar/point_cloud_raw with BEST_EFFORT QoS while Pegasus publishes sensors/ouster/point_cloud_raw RELIABLE; filter received nothing,Match Pegasus / Isaac ouster namespace ... Isaac / Replicator point_cloud_raw uses RELIABLE,uncertain,Silent absence of filtered lidar; downstream mapping would run without obstacles.,robot/ros_ws/src/sensors/lidar_point_cloud_filter/README.md; robot/ros_ws/src/sensors/lidar_point_cloud_filter/config/lidar_point_cloud_filter.yaml; robot/ros_ws/src/sensors/lidar_point_cloud_filter/lidar_point_cloud_filter/lidar_point_cloud_filter_node.py,+49/-29
AirStack-core,castacks/AirStack,AirStack-core-008,2026-05-05,commit_msg,https://github.com/castacks/AirStack/commit/cb8b61653036086e898cd62cca5efce52480f67b,cb8b61653036086e898cd62cca5efce52480f67b,build,medium,unknown,low,[stack] Isaac python.sh picked up Jazzy's Python 3.12 rclpy from PYTHONPATH; _rclpy_pybind11 ABI errors at sim launch; path filtered for Kit scripts,using that rclpy from Isaac's interpreter causes _rclpy_pybind11 / ABI errors,no,Fails at simulator launch.,simulation/isaac-sim/docker/.bashrc; simulation/isaac-sim/docker/docker-compose.yaml,+6/-12 (listed files only)
AirStack-core,castacks/AirStack,AirStack-core-009,2026-05-08,pr_thread,https://github.com/castacks/AirStack/pull/351#discussion_r3205701225,07a5e7849bf96119a72e181b3bedbf0e9115b3b4,parameter,medium,unknown,high,[stack] found in PR review: two_drone_scene_import attached robot_1's lidar subgraph to /World/base_link while the drone spawned at /World/drone1/base_link; robot_1 published no lidar,`drone_prim` is set to `/World/base_link` while the multirotor + camera use `/World/drone1/base_link`. This likely attaches the lidar subgraph to a non-existent prim ... Implemented in 07a5e78.,uncertain,Silent missing sensor for one robot in a two-drone scene.,simulation/isaac-sim/launch_scripts/two_drone_scene_import.py,+2/-2
AirStack-core,castacks/AirStack,AirStack-core-010,2026-05-08,pr_thread,https://github.com/castacks/AirStack/pull/351#discussion_r3190886305,6a0f9a7fd9f96b9f068662a7fa803813b60504ef,build,medium,unknown,high,[stack] found in PR review: lidar_point_cloud_filter imported sensor_msgs_py without declaring it in package.xml,`sensor_msgs_py` is imported by the node ... but the package.xml does not declare a dependency on the `sensor_msgs_py` ROS package. / autofix applied,no,Dependency declaration; would fail rosdep/colcon in a slim image.,robot/ros_ws/src/sensors/lidar_point_cloud_filter/package.xml (autofix within PR #351; commit_sha is the squash merge),n/a (fix commit not isolated; final package.xml declares <exec_depend>sensor_msgs_py</exec_depend>)
