sha	date	author	added	deleted	files	keyword_hit	subject
f8877780247df2773f95140caf932ac09d063769	2026-01-27	Andrew Jong	2245	55	16	0	Bring over changes from airstack-dfm2-old
4c9e56bfdba08ef0c26636ee8ad4475aac033d08	2026-01-28	Andrew Jong	15	10	1	0	Update rviz
09fc1f2680b02bced5d827c72c58479dd1a90c2b	2026-02-09	Andrew Jong	1	1	1	0	Fast forward pegasus simulator
f37a9faf75a5c11fad176e2e7680b3fbee95c490	2026-02-09	Andrew Jong	1	1	1	0	Change project name to airstack-dfm2
784b5c08ec6ecd91b41aa5c0d254820eb611de6a	2026-02-10	N47IN	1	1	1	0	Change version to 0.0.1
1f3383e0fd141e6fb3d7af777c05a396bd4bef41	2026-02-10	N47IN	32776	0	176	0	Add DFM2
624598fde4b9fe7972f8338f6c524249ac15ff2d	2026-02-10	N47IN	49	3	2	0	Changes to make dfm2/rayfronts work
6c0fb1ea0b34b1b58a898bf3cce88f3dfd54f424	2026-02-10	Andrew Jong	2	2	1	0	Switch to standalone mode by default, we'll be using this mostly for dfm2
f5de5214618fdfeced1b6895ae7f02fe70ae5279	2026-02-10	Andrew Jong	1	2	1	0	Update pegasus extension auto enable
84acd9ef5913ab15ca5840ad2c4810d2db5f4189	2026-02-11	Andrew Jong	223	6	3	0	Add force vector field magnitude visualization with arrows
57e6fb7a569f284366071e5fd6541052b1435a05	2026-02-11	Andrew Jong	35	27	2	0	Try tune parameter values to get some drift
bb78dec8fb3f56fe62f95a3c433e8b3f84251bc0	2026-02-11	Andrew Jong	218	67	7	0	Add source prim, e.g. fan to visualize
284b92b1d4529834c80db179082c2b12d1835ee5	2026-02-11	Andrew Jong	4	0	1	0	Remove shadow from sphere visualization
1178b827c2d1c1dba2721346c9a62f66e7bcd999	2026-02-11	Andrew Jong	1348	1	8	0	Wind sim (#1)
81e767a5f210ff5db8da20b2e4c6b38e9ad8c338	2026-02-11	Andrew Jong	0	3	1	0	Update exts
1f4669e93dc28e92bb336f83a2f4ef1b52dd5fdf	2026-02-11	Andrew Jong	10	1129	10	0	Remove old files
143be32fd71af52c40780ca1f751c0cafd3eb23e	2026-02-11	Andrew Jong	31	0	5	0	Add structure for scene library
045eb2727f7d02fe42f5c18460e478cfae80e5c5	2026-02-12	Andrew Jong	1	1	1	0	Tune strength parameter, 0.2 for small fan is better
96b99d0e3ad63104bd53a1e61ebbeeced57926f0	2026-02-12	Andrew Jong	10	10	2	0	Tune params for demo
47883795fd270c3dfdeba8d709b90950a5a21577	2026-02-12	Andrew Jong	24	15	3	0	Make visualization prims 'guides' for easy toggle
db458648212e5d736fdc6d0a8335f353ab08d734	2026-02-12	Andrew Jong	10	6	1	0	Double up on fans in aisle, reduce strength
b39ed2581c6b40e126cfcf72390c8a1e28d59af7	2026-02-12	Andrew Jong	1	1	1	0	Reduce expansion radius to 0.5 to match small drone
e303fac3a0d0da705f2f28fb133aa782150d199d	2026-02-12	Andrew Jong	15	7	2	0	Update warehouse params
071e3ded9a02ff472811d322be29e330e793cdb5	2026-02-12	Andrew Jong	0	0	15	0	Add floor fan
d70ef98f6d99f10ece22cef0c97485e8c3a102c2	2026-02-12	Andrew Jong	12	7	3	0	Enable translation offset for source prim
88669bfbd0764730dcbd6afef2b888720c1feb72	2026-02-12	Andrew Jong	361	10	2	0	Start warehouse env
a6e09fd1e062c6b371506197feec87c5e059acba	2026-02-12	Andrew Jong	3	1	1	0	Add bookmark for dontfoolmetwice on nucleus
fa089a78e32a96aead38b28a83f6e6f8cc370e9c	2026-02-12	Andrew Jong	0	0	2	1	Fix fan blades not staying with fan
341e9e172419f9840a34091b01af08d57ca9dee3	2026-02-12	Andrew Jong	26	21	4	1	Fix orientation to inherit from parent
f99ca6a3e9b57327c40dd11a48301de83f18074e	2026-02-12	Andrew Jong	72	13	6	0	Improve rotation parameter for conical
d9ccd6600d138108b771a9624427951a173c055f	2026-02-12	Andrew Jong	0	0	3	1	Fix box fan orientation properties
a2708e5fc04c77df9015c6f1b142af9c3ec53ffb	2026-02-12	Andrew Jong	36	14	2	1	Fix arrows and conical force field
5d85f8bdcd65e734b61cc48ec0e9c76a9295e8cf	2026-02-12	Andrew Jong	90	54	3	0	Refactor prims under parent xform for source and visualizations
3545d61ec1ea5e0c553a3fe61a4a11ed53844f29	2026-02-12	Andrew Jong	576	10	7	0	Add conicalforcefield
e541ba78d1096ac62af0507a98e64f117fabf9ae	2026-02-13	krrishj18	739	17	7	0	added spot and omni directional strobe lights
bc865d7658fbb96360139b3462e5f00700dbd910	2026-02-16	krrishj18	359	0	1	0	added lensFlare launch file
5a0f6acb389272be7dbb5023a0d0769752b24648	2026-02-17	krrishj18	76	11	3	0	added flare settings to py
3af8f8e0797207ac9d0c8232012ec1362101d04a	2026-02-19	krrishj18	108	0	1	0	added ice plane function
