sha	date	author	added	deleted	files	keyword_hit	subject
e828ef059e9e42459c1c14ad7a808486f7a88491	2026-03-31	Seungchan (airstation-01)	15	2	1	0	raven-airstack setup
b9af9df84b7e26f14c3d11d7b23d16341d4f9cc7	2026-03-31	Seungchan (airstation-01)	3	94	1	0	raven-specific readme
4241433b28173243f542d335fa949b6747df5793	2026-03-31	Seungchan (airstation-01)	2	2	1	0	change to .env file
5667c6b3903d74e20566606594b68bdc11275c77	2026-04-03	krrishj18	10	13	1	0	updated download script
94b8d42c4bd549b8cdfa3829a1dc018b2d21fd0e	2026-04-03	krrishj18	20	0	1	0	added download scenes script
a24530bb332f9e4f972a9d70c49a5e8ebf03e930	2026-04-03	krrishj18	12	0	8	0	added scene placeholders
3f5f2a4ecf7d3f7a86921799f1266defcc2cb75e	2026-04-03	krrishj18	604	0	4	0	added launch files
9a8cfd7c32a4a1c1fa82845467e85a1232e26c1b	2026-04-05	Seungchan (airstation-01)	1	1	1	0	update download_scenes.sh with new google drive link
1f48484c7270b3de884ba7b36a08d15a60f2048f	2026-04-26	Seungchan (airstation-01)	7	1	2	1	fix typo in .env; add omni_pass.env and api token warning
f7ca3698ed37c46e286812592b51a4204e15fe57	2026-04-27	Seungchan (airstation-01)	14	12	5	0	lidar min range 0.75->3.5
947a189acc87b0816c07d01201e1e46750a31bc5	2026-04-27	Seungchan (airstation-01)	63	79	1	0	change default rviz setting
d074a58a7907e66610d763e60c3b16ec3a6a4f77	2026-04-29	Seungchan (airstation-01)	125	19	1	0	rviz includes rayfronts voxels rgb, frontier clouds, and frontier centroids
0f674fa2f0658fce4687fff672d5561dd63a70c0	2026-04-30	Seungchan (airstation-01)	16	4	2	0	remove gcs rviz & gui for launch
32532c0efbfca22dd685b4e656874caf89dbaef8	2026-04-30	Seungchan (airstation-01)	26	12	1	0	add mode_text vis
ec3c9b958d6a5760e5ee7dfd1d11c54a928b1d0f	2026-05-02	Seungchan (airstation-01)	7	7	2	0	modify the trajectory_vis and droan/traj_debug thickness for rviz
d7fb468bfc5472fc3b1f016aff68a6a99bbc45d0	2026-05-05	Seungchan (airstation-01)	1	1	1	0	trajectory thickness 1.0
7fb479be06848e7cbad869d5c87a690a56b9f728	2026-05-05	Seungchan (airstation-01)	1	1	1	0	trajectory thickness 0.75
43e794aa7f882d242b9d7cecdc2d96728f71b123	2026-05-12	Seungchan (airstation-01)	54	6	1	0	rviz show annotation box for default
6b9c0d50921ed071e88ef1315c99e631b43fd260	2026-05-12	Seungchan (airstation-01)	8	0	1	1	minor fix on .env
9d7c3231b0c0ad8364df5bdac44fffc8437e695c	2026-05-12	Seungchan (airstation-01)	37	35	6	0	user input arguments for launch_raven
88764bc651fa55daf21fcfb50122a77457a7d567	2026-05-12	Seungchan (airstation-01)	34	12	4	0	parameterize drone x,y,z, qx,qy,qz,qz inputs
bc4eb5be3bd4f65b3dde542eadead151eb83fdcc	2026-05-18	Seungchan (airstation-01)	705	0	5	0	added scene_prep add collider script
c093d6ea054f39d969a641d9f873c547393e5c7f	2026-05-18	Seungchan (airstation-01)	775	0	5	0	adding launch scripts for five scenes
e7ef77c03c570397443737ab0deb032a4f1ae5af	2026-05-19	Seungchan (airstation-01)	84	0	4	0	add colliders for original 4 envs
278acbffaf748cd6e0102b3a25cfea544e031c83	2026-05-22	Seungchan (airstation-01)	9	23	1	0	modify construction site launch
