sha	date	author	added	deleted	files	keyword_hit	subject
265e923358df9e4f46347ce462be585dcd43109b	2025-10-01	seungchan-kim	6	6	1	0	website link to coauthors
aab7a60318e5f255c2587fe4af60fa264094d803	2025-10-01	seungchan-kim	6	1	1	0	README update
150b62157e984e788cba8aed4a833d9af628ef99	2025-10-01	seungchan-kim	24	1	1	0	README init
f9afa0aa8da391495037a562a9f8711698aeb32b	2025-10-01	seungchan-kim	1	0	1	0	first commit
fbe9c30fb2f17f0eaec212e3e34992aea9e0bed3	2025-10-07	seungchan-kim	1	1	1	0	omar's website
5d73da99edcb8c02eff87476cac6209d21000c11	2026-01-31	Seungchan Kim	1	1	1	0	added youtube video link
0c6dc18b1b923e02f1e8cba828df0ac2cef02d76	2026-01-31	Seungchan Kim	3	3	1	1	small minor fix
ae8d8b04cdcac44eec67be9b4ec509aeba6c57cb	2026-01-31	Seungchan Kim	3	1	1	0	update news for iros25,icra26
6d39637f19859fae1ef0451fff589cf21f4b74b9	2026-03-02	Seungchan (airstation-01)	10	10	1	0	shortening diagram
c54cb00e74619fc35b3f89132830da01f80407db	2026-03-02	Seungchan (airstation-01)	35	0	1	0	instructions added on readme
368f5dfe8d8aa23b5af2641f59c937d15d0cd714	2026-03-02	Seungchan (airstation-01)	8	1	3	0	Update RayFronts submodule pointer
226769cd20a4be3fbfa7b9199063d9d2e9577e3e	2026-03-03	Seungchan (airstation-01)	1	1	1	0	update rayfronts submodule pointer
9b391d7276cec23114c19182247b719b4693439d	2026-03-05	Seungchan (airstation-01)	1	0	1	0	added airstack with tag 2d4f4be
9edc94470d13e034bd6398ecff7cb6b7cc374569	2026-03-07	Seungchan (airstation-01)	1	1	1	1	fixed scale
169991d7836d036297dad414508be92e3997d6c2	2026-03-07	Seungchan (airstation-01)	547	0	5	0	added the setup script
d5e53f5f894a76450bef7e1c4cbef8ff3912b776	2026-03-28	Seungchan (airstation-01)	4	0	1	1	airstack git module fix
29b98f0644eb16506b5a42a9262ed0eccd2fce0f	2026-03-28	Seungchan (airstation-01)	3	3	2	1	fix typo and RayFronts setup link in README; fix .gitmodules branch to raven
a8cb041ffbc89e9da96e970cc3ccd04cbac816af	2026-03-31	Seungchan (airstation-01)	10	3	1	0	update readme referring to submodules; airstack raven branch
bfd66c76fc0507af13d17bc117bd04c6b140b140	2026-04-05	Seungchan (airstation-01)	1	1	1	0	Update airstack submodule to include new download_scenes.sh
