project,repo,defect_id,date,evidence_type,evidence_url,commit_sha,defect_class,class_confidence,discovery_venue,venue_confidence,description,evidence_quote,experiment_ruining_proposed,ruining_rationale,fix_files,fix_loc
Shimizu,castacks/AirStack,Shimizu-001,2025-09-06,commit_msg,https://github.com/castacks/AirStack/commit/ed4fdc4e464374a5909f02fa9398e3383b3cdeef,ed4fdc4e464374a5909f02fa9398e3383b3cdeef,build,high,unknown,low,Exploration planner CMake configure failed: bundled FindOpenVDB.cmake calls find_package(Blosc REQUIRED) but the package's CMakeModules shipped no FindBlosc.cmake,blosc config for build error,no,CMake configure fails before any node can run; necessarily caught at build time.,robot/ros_ws/src/autonomy/4_global/b_planners/exploration/CMakeModules/FindBlosc.cmake,394+/0-
Shimizu,castacks/AirStack,Shimizu-002,2025-09-10,commit_msg,https://github.com/castacks/AirStack/commit/a7a53ae718ad91d8613df673b15d94835a9e833e,a7a53ae718ad91d8613df673b15d94835a9e833e,other,medium,unknown,low,docker-compose: merge-conflict markers left in robot/docker/docker-compose.yaml by merge ae3f4550 (pull from demo); file unparsable by docker compose,"repair docker compose | removed lines: ""<<<<<<< HEAD"", ""======="", "">>>>>>> 2d5142109ef4a1887895a954e2111da3ba147e75""",no,"docker compose refuses to parse the file, so no container starts; visible immediately at bring-up.",robot/docker/docker-compose.yaml,1+/6-
Shimizu,castacks/AirStack,Shimizu-003,2025-09-10,commit_msg,https://github.com/castacks/AirStack/commit/0ea9a854e41fbe2fb1a22206814229062a470ff5,0ea9a854e41fbe2fb1a22206814229062a470ff5,build,medium,unknown,low,"CMakeLists declared find_package(vdb_mapping REQUIRED) and linked vdb_mapping::vdb_mapping although no source used it; unresolvable after merge, build failed (exploration; later inspection_planning)","fix cmakelist after merge | ""-find_package(vdb_mapping REQUIRED)"" -> ""+# find_package(vdb_mapping REQUIRED)""",no,colcon build fails at configure time; cannot reach a running experiment.,"robot/ros_ws/src/autonomy/4_global/b_planners/exploration/CMakeLists.txt (0ea9a854; identical duplicate commit 593be4ac51500706ae78dbc61d25a5202232c4aa); robot/ros_ws/src/autonomy/4_global/b_planners/inspection_planning/CMakeLists.txt (31f969e66b80f299b5b40648d6727b9509bbdafc, same dependency)",3+/3- (0ea9a854) ; 3+/3- (593be4ac duplicate) ; 2+/2- (31f969e6)
Shimizu,castacks/AirStack,Shimizu-004,2025-09-10,commit_msg,https://github.com/castacks/AirStack/commit/e579063384cc1e52c07cec9cb885ff005a02b584,e579063384cc1e52c07cec9cb885ff005a02b584,other,medium,unknown,low,docker-compose: merge 0c467a58 dropped 'tmux new -d -s robot_bringup'; autolaunch send-keys targeted a nonexistent session; bridge network and ssh ports replaced by network_mode: host,"fixed docker compoer env | ""+        tmux new -d -s robot_bringup;"" ; ""-    network_mode: host""",no,Autolaunch silently does nothing at container start (tmux: no server running); visible before any experiment begins.,robot/docker/docker-compose.yaml,17+/12-
Shimizu,castacks/AirStack,Shimizu-005,2025-09-10,commit_msg,https://github.com/castacks/AirStack/commit/2ed7fecd576e1eed57f1be321554db9ac3791a3f,2ed7fecd576e1eed57f1be321554db9ac3791a3f,other,medium,unknown,low,docker-compose: unterminated single quote in tmux send-keys command ('bws && sws;) introduced four minutes earlier by 54a1f7e4; container command string malformed,"another fix | ""-        tmux send-keys -t robot_bringup 'bws && sws;"" -> ""+        tmux send-keys -t robot_bringup 'bws && sws' ENTER;""",no,Malformed shell command fails at container start; fixed within four minutes of introduction.,robot/docker/docker-compose.yaml,1+/1-
Shimizu,castacks/AirStack,Shimizu-006,2025-09-10,commit_msg,https://github.com/castacks/AirStack/commit/393142b843ec7f85f574daa7ddcee1fc3f8f1301,393142b843ec7f85f574daa7ddcee1fc3f8f1301,parameter,medium,unknown,low,"waypoint_routing_node declares sub_target_path_topic with no default; exploration_config.yaml lacked the key, so initialize() logged 'Cannot read parameter' and returned before creating any subscription","+    sub_target_path_topic: ""/perspective_goals""",uncertain,Node starts but never subscribes or plans; the failure surfaces only when exploration is toggled and nothing happens.,robot/ros_ws/src/autonomy/4_global/b_planners/exploration/config/exploration_config.yaml,1+/0- (whole commit 3+/0-; fixes two listed defects)
Shimizu,castacks/AirStack,Shimizu-007,2025-09-10,commit_msg,https://github.com/castacks/AirStack/commit/393142b843ec7f85f574daa7ddcee1fc3f8f1301,393142b843ec7f85f574daa7ddcee1fc3f8f1301,logic,medium,unknown,low,"Waypoint routing never popped the reached waypoint from target_path, so after arrival (or stall) it re-planned to the same first waypoint indefinitely",+                this->target_path.pop_front();,yes,"Deterministic: the vehicle reaches waypoint 1 and loops on it, stalling any multi-waypoint route mid-run.",robot/ros_ws/src/autonomy/4_global/b_planners/exploration/src/waypoint_routing_node.cpp,2+/0- (whole commit 3+/0-; fixes two listed defects)
Shimizu,castacks/AirStack,Shimizu-008,2025-09-15,commit_msg,https://github.com/castacks/AirStack/commit/8cee231cc3ab8a6b4e6aec3801d5108f9631b634,8cee231cc3ab8a6b4e6aec3801d5108f9631b634,logic,medium,unknown,low,filter_predicted_semantics in-FOV test rejected points with camera-frame z<=0 while the same function treats +x as the optical axis; semantic points misclassified as behind camera,"""-        if point_camera.z <= 0:"" -> ""+        if point_camera.x <= 0:""",uncertain,Wrong FOV culling degrades inspection-target filtering; no flight-safety path involved.,robot/ros_ws/src/autonomy/4_global/b_planners/inspection_planning/scripts/filter_predicted_semantics.py,119+/69- (whole file; commit also rewrites frustum visualization)
Shimizu,castacks/AirStack,Shimizu-009,2025-09-26,commit_msg,https://github.com/castacks/AirStack/commit/b3fc0558e1892d024b0e0dadf4404d312caa5c7b,b3fc0558e1892d024b0e0dadf4404d312caa5c7b,logic,high,unknown,low,"VDBUtil::createCoordBBox rounded bbox corners to nearest cell center, silently dropping the outermost voxel layer from collision-check boxes; replaced with floor/ceil on a continuous index bbox","If bbox_max lands just past a cell center, rounding can pull it back and you’ll silently drop the outermost layer of cells.",uncertain,Collision checks used a thinner box than configured; whether this produced a collision in a run is not recorded.,robot/ros_ws/src/autonomy/4_global/b_planners/exploration/src/utils.cpp,58+/26- (whole file; commit also adds RRT shortening)
Shimizu,castacks/AirStack,Shimizu-010,2026-01-19,commit_msg,https://github.com/castacks/AirStack/commit/3431e263f079b1ebfe4855ffa5a92e6cdf0ef44a,3431e263f079b1ebfe4855ffa5a92e6cdf0ef44a,remap_topic,medium,unknown,low,"pid_path_tracker odometry subscription used reliable QoS depth 1, incompatible with a best-effort odometry publisher; changed to SensorDataQoS (cmd_vel variant here, cmd_vel_stamped variant in dd521a90)","+            ""odometry"", rclcpp::SensorDataQoS(), std::bind(&PIDPathTrackerNode::odometry_callback, this, std::placeholders::_1));",uncertain,"A best-effort publisher never matches a reliable subscriber, so the tracker holds with no commands from the first second; likely noticed at session start.",robot/ros_ws/src/autonomy/3_local/c_controls/path_tracker/src/pid_path_tracker_cmd_vel.cpp (3431e263); robot/ros_ws/src/autonomy/3_local/c_controls/path_tracker/src/pid_path_tracker_cmd_vel_stamped.cpp (dd521a9094466f0c3a08f37631c0b270e0b5e90a),1+/1- per file (whole commits: 3431e263 133+/13- in that file; dd521a90 156+/23- in that file; both fix multiple listed defects)
